%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1446040145784409451,1,1446040145751595973,robocape,9.8622889778,20.3005387555,8.20528105079,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.00612527050718,0.0237021337017,0.00612527050718,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.158071289063,1.59268798828,10.1680554199,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446040145805987201,2,1446040145791177034,robocape,9.8567365035,20.3013188879,8.20324199552,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0066579027252,0.0234358175927,0.00599211245268,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.252674560547,1.6058605957,10.1920056152,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446040145842187284,3,1446040145825299978,robocape,9.8509125369,20.3019950889,8.20036816315,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0066579027252,0.0233026595382,0.00559263828917,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.296982421875,1.60346557617,10.1860180664,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446040145894734784,4,1446040145885585069,robocape,9.84226134714,20.3046019985,8.19812164,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.00506000607115,0.0243679239742,0.00572579634367,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.293389892578,1.61065063477,10.1465002441,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446040145925093201,5,1446040145921031951,robocape,9.83368563387,20.3038308399,8.19665845167,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.00492684801665,0.0226368692657,0.00639158661619,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.326920166016,1.61663818359,10.1644628906,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446040145962659992,6,1446040145959491968,robocape,9.82593093541,20.3040269841,8.19536114726,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.00532632218016,0.0231695014837,0.00639158661619,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.280217285156,1.59987304688,10.1764379883,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446040145995843992,7,1446040145992532968,robocape,9.82024309244,20.3049293997,8.19417830121,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.00639158661619,0.0235689756472,0.00639158661619,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.3065625,1.57951538086,10.157277832,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446040146035738242,8,1446040146032753944,robocape,9.81467153606,20.3066475022,8.19259014144,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.00652474467069,0.0239684498107,0.00612527050718,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.277822265625,1.62741577148,10.1704504395,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446040146071351659,9,1446040146068337917,robocape,9.80938879631,20.3074795879,8.19030167362,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0067910607797,0.0234358175927,0.00585895439817,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.292192382813,1.61663818359,10.1584753418,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446040146106364951,10,1446040146103283882,robocape,9.80424234022,20.3083753271,8.18912224144,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0066579027252,0.0235689756472,0.00639158661619,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.322130126953,1.61065063477,10.1429077148,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446040146145325367,11,1446040146141931056,robocape,9.79593803997,20.3087604165,8.18677487759,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.00519316412565,0.0231695014837,0.00585895439817,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.271834716797,1.63699584961,10.2063757324,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446040146178299701,12,1446040146175232887,robocape,9.78750577291,20.3079831599,8.18395675709,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.00519316412565,0.0225037112112,0.00572579634367,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.293389892578,1.58909545898,10.1812280273,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446040146216700326,13,1446040146213324069,robocape,9.77916046312,20.3080490439,8.18210975058,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.00506000607115,0.0230363434292,0.00612527050718,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.2682421875,1.64657592773,10.1680554199,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446040146256992409,14,1446040146253582000,robocape,9.77231110917,20.3093583142,8.18019939305,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.00585895439817,0.0237021337017,0.00599211245268,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.281414794922,1.62262573242,10.1632653809,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446040146292750493,15,1446040146289583921,robocape,9.76745802916,20.3092983776,8.17886744881,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0067910607797,0.0230363434292,0.00639158661619,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.271834716797,1.609453125,10.157277832,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446040146329011243,16,1446040146325254917,robocape,9.76397610472,20.3107893877,8.17861982974,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.00732369299772,0.0239684498107,0.0067910607797,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.314945068359,1.64537841797,10.1704504395,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446040146365825284,17,1446040146362760066,robocape,9.75791314939,20.3128384259,8.17820538177,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.00599211245268,0.0242347659197,0.0066579027252,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.274229736328,1.61184814453,10.1812280273,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446040146399859493,18,1446040146396704912,robocape,9.75097414016,20.3132213056,8.17586475767,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.00585895439817,0.0231695014837,0.00585895439817,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.269439697266,1.64897094727,10.1944006348,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446040146436703659,19,1446040146432816982,robocape,9.74452885558,20.3132475158,8.1756534376,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.00572579634367,0.0231695014837,0.00692421883421,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.275427246094,1.62502075195,10.1692529297,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446040146473651493,20,1446040146470560073,robocape,9.76791321679,20.3167614166,8.19561351729,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0178431793035,0.0270310850643,0.0165115987585,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.233514404297,1.06698120117,10.1848205566,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446040146510029034,21,1446040146506592988,robocape,10.0197597128,20.4908636976,7.73885368476,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.225702902384,0.0768321974488,-0.229298169856,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.39749389648,2.04295166016,10.7081323242,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446040146552043743,22,1446040146548682928,robocape,10.2567702428,20.5651651896,7.30226815322,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.214517625806,0.0249005561922,-0.211321832498,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-3.89789428711,3.22848632813,10.6542443848,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446040146586154743,23,1446040146582623958,robocape,9.90832857417,20.6711412513,7.32005199574,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,-0.176567580272,0.0790958843754,0.00466053190764,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-6.62222900391,0.870589599609,11.5056738281,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446040146622202368,24,1446040146619107961,robocape,9.51643858486,20.4409180112,7.41715080582,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,-0.216514996623,-0.0937432703708,0.0717721913776,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-10.4398901367,-0.307760009766,8.57776245117,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446040146654039159,25,1446040146650748014,robocape,9.2169693484,20.5223959091,7.99567101366,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,-0.25366609383,0.113716978546,0.280430862785,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-8.49872680664,1.68130371094,12.701986084,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1446040146693092618,26,1446040146689831018,robocape,8.42736414795,20.3320116651,8.93887579738,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,-0.579637011256,-0.00772316716123,0.479368996214,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-9.60522583008,1.38072875977,8.81846191406,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
