%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1446040233755083868,339,1446040233454862117,robocape_mag,16.2,0.9,2.85,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446040233762890743,340,1446040233514786005,robocape_mag,15.9,0.6,2.55,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446040233763325784,341,1446040233550107002,robocape_mag,15.9,0.6,2.55,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446040233763705368,342,1446040233607780933,robocape_mag,15.9,0.6,2.55,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446040233763742993,343,1446040233650202035,robocape_mag,14.7,2.4,3.15,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446040233763824826,344,1446040233730504989,robocape_mag,14.7,2.4,3.15,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446040233782411451,345,1446040233776520967,robocape_mag,14.7,2.4,3.15,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446040233820841368,346,1446040233809022903,robocape_mag,14.4,1.5,2.25,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446040233871413368,347,1446040233854726076,robocape_mag,14.4,1.5,2.25,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446040233904655159,348,1446040233897255897,robocape_mag,14.4,1.5,2.25,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446040233936701243,349,1446040233931349039,robocape_mag,14.4,1.5,2.25,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446040233978424659,350,1446040233973551034,robocape_mag,14.4,1.5,2.85,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446040234013543493,351,1446040234008434057,robocape_mag,14.4,1.5,2.85,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446040234055254826,352,1446040234045767068,robocape_mag,14.4,1.5,2.85,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446040234090643493,353,1446040234081302881,robocape_mag,14.4,1.5,2.85,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446040234123592368,354,1446040234118724107,robocape_mag,13.8,1.5,2.85,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446040234158590118,355,1446040234153805971,robocape_mag,13.8,1.5,2.85,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446040234192975076,356,1446040234188046932,robocape_mag,13.8,1.5,2.85,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446040234227746493,357,1446040234222670078,robocape_mag,13.8,1.5,2.85,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446040234263415993,358,1446040234258402109,robocape_mag,13.8,1.5,2.85,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446040234301666785,359,1446040234296350955,robocape_mag,16.8,0.9,2.25,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
