%time,field.header.seq,field.header.stamp,field.header.frame_id,field.temperature,field.variance
1446040233749161034,1,1446040233345576047,robocape,1485.0,1492.0
1446040233750206993,2,1446040233379194974,robocape,1488.0,1490.0
1446040233753669451,3,1446040233415973901,robocape,1481.0,1497.0
1446040233775778409,4,1446040233457055091,robocape,1481.0,1497.0
1446040233786598201,5,1446040233479023933,robocape,1481.0,1495.0
1446040233786733993,6,1446040233511466979,robocape,1486.0,1490.0
1446040233786771909,7,1446040233543798923,robocape,1488.0,1490.0
1446040233786831576,8,1446040233577845096,robocape,1488.0,1490.0
1446040233806725409,9,1446040233625169992,robocape,1485.0,1497.0
1446040233807753284,10,1446040233667285919,robocape,1480.0,1495.0
1446040233807801409,11,1446040233704144954,robocape,1481.0,1497.0
1446040233808642576,12,1446040233734556913,robocape,1478.0,1495.0
1446040233812670701,13,1446040233760459899,robocape,1488.0,1490.0
1446040233825792076,14,1446040233796875000,robocape,1485.0,1489.0
1446040233850530576,15,1446040233845504045,robocape,1486.0,1490.0
1446040233875672284,16,1446040233874478101,robocape,1488.0,1497.0
1446040233907653993,17,1446040233903175115,robocape,1480.0,1495.0
1446040233945068534,18,1446040233943217992,robocape,1482.0,1495.0
1446040233971554243,19,1446040233969443082,robocape,1481.0,1497.0
1446040234003824409,20,1446040234002127885,robocape,1486.0,1498.0
1446040234036661118,21,1446040234034950971,robocape,1488.0,1501.0
1446040234070469993,22,1446040234067940950,robocape,1488.0,1523.0
1446040234103021659,23,1446040234101654052,robocape,1480.0,1599.0
1446040234139069201,24,1446040234137706041,robocape,1481.0,1709.0
1446040234173770284,25,1446040234172390937,robocape,1486.0,1800.0
1446040234207395034,26,1446040234204097032,robocape,1480.0,1237.0
1446040234237524201,27,1446040234232645034,robocape,1480.0,1237.0
1446040234271319618,28,1446040234264988899,robocape,1486.0,1822.0
1446040234307671701,29,1446040234303345918,robocape,1481.0,1822.0
1446040234351121368,30,1446040234349744081,robocape,1481.0,1825.0
1446040234386727451,31,1446040234385375976,robocape,1478.0,1824.0
1446040234416207660,32,1446040234414812088,robocape,1486.0,1820.0
1446040234450229451,33,1446040234445923089,robocape,1485.0,1818.0
1446040234485847951,34,1446040234478847026,robocape,1486.0,1820.0
1446040234519394160,35,1446040234511885881,robocape,1480.0,1820.0
1446040234546375326,36,1446040234544648885,robocape,1481.0,1820.0
1446040234579123493,37,1446040234577449083,robocape,1478.0,1822.0
1446040234611327410,38,1446040234609985113,robocape,1481.0,1829.0
1446040234647057035,39,1446040234645473003,robocape,1485.0,1822.0
1446040234682066201,40,1446040234678571939,robocape,1488.0,1822.0
1446040234716695160,41,1446040234711694955,robocape,1486.0,1822.0
1446040234759700660,42,1446040234746532917,robocape,1488.0,1822.0
1446040234776197451,43,1446040234774534940,robocape,1478.0,1824.0
1446040234809455368,44,1446040234807599067,robocape,1480.0,1824.0
1446040234842544951,45,1446040234840593099,robocape,1480.0,1829.0
1446040234893776993,46,1446040234892540931,robocape,1488.0,1824.0
1446040234929631535,47,1446040234928144931,robocape,1495.0,1822.0
1446040234957132285,48,1446040234955352067,robocape,1507.0,1824.0
1446040234990476827,49,1446040234988214969,robocape,1499.0,1822.0
1446040235023596952,50,1446040235021123886,robocape,1499.0,1822.0
1446040235055188160,51,1446040235053775072,robocape,1498.0,1822.0
1446040235090476827,52,1446040235088947057,robocape,1497.0,1829.0
1446040235126083910,53,1446040235124721050,robocape,1497.0,1822.0
1446040235160576452,54,1446040235159210920,robocape,1493.0,1824.0
1446040235194300368,55,1446040235191080093,robocape,1493.0,1824.0
1446040235224232035,56,1446040235219353914,robocape,1490.0,1822.0
1446040235254633910,57,1446040235250935077,robocape,1484.0,1822.0
1446040235290231827,58,1446040235288978099,robocape,1484.0,1822.0
1446040235323913952,59,1446040235316832065,robocape,1484.0,1829.0
1446040235351684660,60,1446040235349972963,robocape,1490.0,1822.0
1446040235384346410,61,1446040235382659912,robocape,1488.0,1824.0
1446040235418723243,62,1446040235417135953,robocape,1489.0,1821.0
1446040235453727785,63,1446040235452066898,robocape,1490.0,1822.0
1446040235487624910,64,1446040235486323118,robocape,1484.0,1822.0
1446040235520334202,65,1446040235515089988,robocape,1484.0,1822.0
1446040235556988785,66,1446040235553747892,robocape,1482.0,1830.0
1446040235582450577,67,1446040235581007957,robocape,1484.0,1829.0
1446040235621308868,68,1446040235616899013,robocape,1489.0,1822.0
1446040235647962910,69,1446040235645577907,robocape,1489.0,1822.0
1446040235680599619,70,1446040235678883075,robocape,1489.0,1824.0
1446040235713133702,71,1446040235711325883,robocape,1482.0,1822.0
1446040235746741494,72,1446040235745377063,robocape,1482.0,1822.0
1446040235784181494,73,1446040235782912015,robocape,1482.0,1829.0
1446040235817994952,74,1446040235811450958,robocape,1482.0,1828.0
1446040235861727452,75,1446040235859827995,robocape,1490.0,1822.0
1446040235896354369,76,1446040235894650936,robocape,1699.0,1822.0
1446040235928618869,77,1446040235925586938,robocape,1700.0,1814.0
1446040235962190744,78,1446040235960901021,robocape,1700.0,1779.0
1446040235997662410,79,1446040235992928028,robocape,1700.0,1556.0
1446040236032802035,80,1446040236029453039,robocape,1700.0,1548.0
1446040236062630744,81,1446040236056152105,robocape,1700.0,1493.0
1446040236109484202,82,1446040236107724905,robocape,1700.0,1495.0
1446040236141669702,83,1446040236140353918,robocape,1700.0,1495.0
1446040236176223202,84,1446040236172837018,robocape,1700.0,1490.0
1446040236211157660,85,1446040236207864046,robocape,1700.0,1490.0
1446040236246500452,86,1446040236244945049,robocape,1700.0,1490.0
1446040236272639994,87,1446040236271285057,robocape,1700.0,1495.0
1446040236307526952,88,1446040236303464889,robocape,1700.0,1495.0
1446040236341538369,89,1446040236340199947,robocape,1700.0,1497.0
1446040236370255661,90,1446040236368612051,robocape,1700.0,1497.0
1446040236403203244,91,1446040236401361942,robocape,1700.0,1492.0
1446040236436070911,92,1446040236434326887,robocape,1700.0,1492.0
1446040236487818411,93,1446040236486505031,robocape,1700.0,1493.0
1446040236524461994,94,1446040236520586013,robocape,1700.0,1570.0
1446040236551498369,95,1446040236549597978,robocape,1700.0,1629.0
1446040236584044911,96,1446040236582259893,robocape,1700.0,1629.0
1446040236617841411,97,1446040236616086959,robocape,1700.0,1599.0
1446040236653063119,98,1446040236651624917,robocape,1700.0,1565.0
1446040236686210994,99,1446040236682871103,robocape,1700.0,1515.0
1446040236721602369,100,1446040236717993974,robocape,1700.0,1490.0
1446040236755985827,101,1446040236754353046,robocape,1700.0,1493.0
1446040236781615619,102,1446040236779640913,robocape,1700.0,1493.0
1446040236814356577,103,1446040236812297105,robocape,1700.0,1493.0
1446040236846923369,104,1446040236845283031,robocape,1700.0,1492.0
1446040236881630494,105,1446040236879925966,robocape,1700.0,1486.0
1446040236911980077,106,1446040236910604000,robocape,1700.0,1486.0
1446040236948266702,107,1446040236946974992,robocape,1700.0,1488.0
1446040236983163994,108,1446040236979758977,robocape,1700.0,1490.0
1446040237018546286,109,1446040237016129016,robocape,1700.0,1494.0
1446040237046729703,110,1446040237042154073,robocape,1700.0,1495.0
1446040237083236286,111,1446040237081963062,robocape,1700.0,1494.0
1446040237111374119,112,1446040237110040903,robocape,1700.0,1489.0
1446040237147592786,113,1446040237146367073,robocape,1700.0,1488.0
1446040237175457286,114,1446040237173765897,robocape,1700.0,1490.0
1446040237208231411,115,1446040237206582069,robocape,1700.0,1488.0
1446040237243161578,116,1446040237241396903,robocape,1700.0,1494.0
1446040237275811786,117,1446040237274441003,robocape,1700.0,1493.0
1446040237310344578,118,1446040237308971881,robocape,1700.0,1495.0
1446040237344155911,119,1446040237340826988,robocape,1700.0,1488.0
1446040237378391119,120,1446040237373471021,robocape,1700.0,1489.0
1446040237410988078,121,1446040237405061960,robocape,1700.0,1488.0
1446040237455561869,122,1446040237453457117,robocape,1700.0,1489.0
1446040237508037953,123,1446040237503508090,robocape,1700.0,1495.0
1446040237544549369,124,1446040237538249969,robocape,1700.0,1495.0
1446040237576318453,125,1446040237569914102,robocape,1700.0,1494.0
1446040237622054661,126,1446040237620699882,robocape,1700.0,1489.0
1446040237654770703,127,1446040237650547981,robocape,1700.0,1489.0
1446040237701737869,128,1446040237699568986,robocape,1700.0,1495.0
1446040237760239495,129,1446040237753788948,robocape,1700.0,1494.0
1446040237784173328,130,1446040237781831026,robocape,1700.0,1494.0
1446040237840507995,131,1446040237835827112,robocape,1700.0,1489.0
1446040237874304370,132,1446040237869321107,robocape,1700.0,1488.0
1446040237898450578,133,1446040237897102117,robocape,1700.0,1489.0
1446040237935069953,134,1446040237933753013,robocape,1700.0,1488.0
1446040237983873286,135,1446040237982517957,robocape,1700.0,1486.0
1446040238017652620,136,1446040238014345884,robocape,1700.0,1457.0
1446040238052324161,137,1446040238049004077,robocape,1700.0,1385.0
1446040238149392536,138,1446040238148103952,robocape,1700.0,1316.0
1446040238182716870,139,1446040238179812908,robocape,1700.0,1318.0
1446040238218113953,140,1446040238213176012,robocape,1700.0,1314.0
1446040238247773745,141,1446040238241501092,robocape,1700.0,1314.0
1446040238281460870,142,1446040238276309967,robocape,1700.0,1316.0
1446040238309541745,143,1446040238307267904,robocape,1700.0,1316.0
1446040238342019953,144,1446040238340257883,robocape,1700.0,1314.0
1446040238375991453,145,1446040238373976945,robocape,1700.0,1309.0
1446040238429263203,146,1446040238427927017,robocape,1700.0,1309.0
1446040238457484078,147,1446040238455396890,robocape,1700.0,1316.0
1446040238490041203,148,1446040238488312005,robocape,1700.0,1432.0
1446040238524512287,149,1446040238522598981,robocape,1700.0,1527.0
1446040238589017078,150,1446040238587155103,robocape,1700.0,1562.0
1446040238657155495,151,1446040238655185937,robocape,1700.0,1532.0
1446040238690566037,152,1446040238688616991,robocape,1506.0,1535.0
1446040238722690787,153,1446040238721334934,robocape,1442.0,1534.0
1446040238787509953,154,1446040238783325910,robocape,1300.0,1519.0
1446040238821156162,155,1446040238816937923,robocape,1131.0,1506.0
1446040238921768037,156,1446040238916493892,robocape,1089.0,1494.0
1446040238998714703,157,1446040238997055053,robocape,1089.0,1495.0
1446040239181563579,158,1446040239180202960,robocape,1089.0,1490.0
1446040239215539870,159,1446040239210696935,robocape,1089.0,1497.0
1446040239252149370,160,1446040239250572919,robocape,1082.0,1494.0
1446040239285440079,161,1446040239281789064,robocape,1089.0,1490.0
1446040239381098995,162,1446040239379744052,robocape,1089.0,1495.0
1446040239426254620,163,1446040239424119949,robocape,1089.0,1495.0
1446040239459089162,164,1446040239457142114,robocape,1089.0,1495.0
1446040239492612079,165,1446040239490886926,robocape,1082.0,1495.0
1446040239523613745,166,1446040239522248029,robocape,1089.0,1490.0
1446040239561100245,167,1446040239559365987,robocape,1089.0,1490.0
