%time,field.header.seq,field.header.stamp,field.header.frame_id,field.temperature,field.variance
1446040993271440271,1,1446040992897310018,robocape,1485.0,1620.0
1446040993311085188,2,1446040992924540996,robocape,1484.0,1380.0
1446040993311193188,3,1446040993010509967,robocape,1484.0,1380.0
1446040993311225896,4,1446040993060121059,robocape,1480.0,1380.0
1446040993311258438,5,1446040993089493989,robocape,1484.0,1380.0
1446040993311291396,6,1446040993125566959,robocape,1484.0,1380.0
1446040993311356355,7,1446040993152328968,robocape,1484.0,1620.0
1446040993316622438,8,1446040993198210000,robocape,1484.0,1380.0
1446040993316883730,9,1446040993219572067,robocape,1478.0,1620.0
1446040993324526896,10,1446040993261543035,robocape,1478.0,1620.0
1446040993324654938,11,1446040993287846088,robocape,1480.0,1380.0
1446040993337153355,12,1446040993335227012,robocape,1484.0,1620.0
1446040993498246105,13,1446040993496978044,robocape,1485.0,1380.0
1446040993533146438,14,1446040993531851053,robocape,1477.0,1380.0
1446040993571094730,15,1446040993569331884,robocape,1484.0,1380.0
1446040993603607313,16,1446040993602341890,robocape,1484.0,1620.0
1446040993637828772,17,1446040993633177995,robocape,1486.0,1380.0
1446040993667641105,18,1446040993661468982,robocape,1484.0,1380.0
1446040993698718855,19,1446040993697362899,robocape,1478.0,1620.0
1446040993730969355,20,1446040993729630947,robocape,1480.0,1620.0
1446040993767889105,21,1446040993765660047,robocape,1480.0,1380.0
1446040993794832897,22,1446040993793114900,robocape,1484.0,1380.0
1446040993827957397,23,1446040993826241016,robocape,1486.0,1620.0
1446040993878979605,24,1446040993877489089,robocape,1485.0,1380.0
1446040993910742813,25,1446040993909353971,robocape,1484.0,1620.0
1446040993992513438,26,1446040993990334987,robocape,1480.0,1380.0
1446040994026269230,27,1446040994024110078,robocape,1478.0,1620.0
1446040994058395063,28,1446040994056741952,robocape,1485.0,1620.0
1446040994094098147,29,1446040994090835094,robocape,1486.0,1620.0
1446040994129452814,30,1446040994124368906,robocape,1485.0,1620.0
1446040994159879730,31,1446040994154705047,robocape,1484.0,1620.0
1446040994193560105,32,1446040994188666105,robocape,1478.0,1620.0
1446040994238677605,33,1446040994236968040,robocape,1480.0,1380.0
1446040994278779355,34,1446040994274010896,robocape,1485.0,1380.0
1446040994306859230,35,1446040994305496931,robocape,1484.0,1380.0
1446040994339483439,36,1446040994335208892,robocape,1485.0,1380.0
1446040994388612189,37,1446040994387238979,robocape,1485.0,1620.0
1446040994422383855,38,1446040994418797969,robocape,1478.0,1380.0
1446040994459152522,39,1446040994457788944,robocape,1478.0,1380.0
1446040994493181397,40,1446040994489969015,robocape,1480.0,1380.0
1446040994521890105,41,1446040994517272949,robocape,1485.0,1380.0
1446040994551156772,42,1446040994549647092,robocape,1485.0,1620.0
1446040994588252772,43,1446040994586919069,robocape,1484.0,1620.0
1446040994616932105,44,1446040994615008115,robocape,1484.0,1380.0
1446040994649226814,45,1446040994647531032,robocape,1478.0,1380.0
1446040994682196439,46,1446040994680402040,robocape,1480.0,1620.0
1446040994715423897,47,1446040994713342905,robocape,1477.0,1380.0
1446040994749778147,48,1446040994748040914,robocape,1485.0,1620.0
1446040994783943105,49,1446040994782222032,robocape,1484.0,1380.0
1446040994814664606,50,1446040994813258886,robocape,1485.0,1380.0
1446040994850580439,51,1446040994848711013,robocape,1486.0,1620.0
1446040994901007356,52,1446040994899523019,robocape,1480.0,1620.0
1446040994929193397,53,1446040994927191019,robocape,1480.0,1620.0
1446040994961609981,54,1446040994959800958,robocape,1480.0,1620.0
1446040994996237397,55,1446040994994438886,robocape,1486.0,1620.0
1446040995029197439,56,1446040995027065038,robocape,1485.0,1380.0
1446040995061467564,57,1446040995058291912,robocape,1484.0,1380.0
1446040995095846147,58,1446040995092515945,robocape,1485.0,1380.0
1446040995129881606,59,1446040995126169919,robocape,1480.0,1620.0
1446040995166416522,60,1446040995162998914,robocape,1478.0,1620.0
1446040995195759856,61,1446040995191133975,robocape,1478.0,1620.0
1446040995226961231,62,1446040995223690986,robocape,1478.0,1380.0
1446040995280060189,63,1446040995274480104,robocape,1486.0,1380.0
1446040995306636481,64,1446040995305310964,robocape,1485.0,1380.0
1446040995343316481,65,1446040995341988086,robocape,1486.0,1620.0
1446040995392591272,66,1446040995387823104,robocape,1480.0,1620.0
1446040995427524439,67,1446040995424160957,robocape,1480.0,1380.0
1446040995460262856,68,1446040995457293987,robocape,1478.0,1620.0
1446040995489432606,69,1446040995485424995,robocape,1485.0,1620.0
1446040995524840189,70,1446040995523380041,robocape,1485.0,1380.0
1446040995552968564,71,1446040995551323890,robocape,1484.0,1620.0
1446040995586271564,72,1446040995584537029,robocape,1485.0,1620.0
1446040995618834064,73,1446040995617089986,robocape,1478.0,1380.0
1446040995651699356,74,1446040995650002956,robocape,1480.0,1620.0
1446040995685963939,75,1446040995684179067,robocape,1478.0,1620.0
1446040995717978981,76,1446040995716665983,robocape,1485.0,1620.0
1446040995751774856,77,1446040995750400066,robocape,1485.0,1380.0
1446040995785972564,78,1446040995782473087,robocape,1486.0,1620.0
1446040995820645564,79,1446040995817229986,robocape,1486.0,1620.0
1446040995854595981,80,1446040995849889993,robocape,1477.0,1380.0
1446040995882317898,81,1446040995880956888,robocape,1480.0,1620.0
1446040995920030689,82,1446040995913996934,robocape,1478.0,1620.0
1446040995950103148,83,1446040995945626020,robocape,1485.0,1380.0
1446040995984540273,84,1446040995980081081,robocape,1485.0,1620.0
1446040996012983564,85,1446040996011362075,robocape,1485.0,1380.0
1446040996045922939,86,1446040996044184923,robocape,1486.0,1620.0
1446040996079241773,87,1446040996077600002,robocape,1480.0,1380.0
1446040996129117856,88,1446040996127726078,robocape,1480.0,1620.0
1446040996163604106,89,1446040996160590887,robocape,1480.0,1620.0
1446040996201369523,90,1446040996197352886,robocape,1485.0,1380.0
1446040996226745565,91,1446040996225033998,robocape,1485.0,1620.0
1446040996266586190,92,1446040996260690927,robocape,1486.0,1620.0
1446040996299070065,93,1446040996297350883,robocape,1484.0,1380.0
1446040996331901731,94,1446040996327104091,robocape,1478.0,1380.0
1446040996362471815,95,1446040996356194019,robocape,1478.0,1380.0
1446040996393883023,96,1446040996392635107,robocape,1480.0,1380.0
1446040996444444856,97,1446040996439963102,robocape,1485.0,1380.0
1446040996481640106,98,1446040996480257034,robocape,1485.0,1620.0
1446040996510908065,99,1446040996505527019,robocape,1485.0,1620.0
1446040996541999690,100,1446040996538031101,robocape,1485.0,1380.0
1446040996576370773,101,1446040996575005054,robocape,1480.0,1620.0
1446040996604557606,102,1446040996602953910,robocape,1480.0,1620.0
1446040996660566981,103,1446040996659168958,robocape,1480.0,1620.0
1446040996691187315,104,1446040996684834003,robocape,1486.0,1380.0
1446040996719729023,105,1446040996718496084,robocape,1485.0,1380.0
1446040996770453731,106,1446040996769105911,robocape,1484.0,1380.0
1446040996803680981,107,1446040996800461053,robocape,1478.0,1620.0
1446040996840593648,108,1446040996838377952,robocape,1478.0,1620.0
1446040996884427606,109,1446040996882433891,robocape,1478.0,1620.0
1446040996917178857,110,1446040996915163040,robocape,1485.0,1380.0
1446040996949974440,111,1446040996948158025,robocape,1485.0,1620.0
1446040996983086607,112,1446040996981226921,robocape,1486.0,1380.0
1446040997017735357,113,1446040997015965938,robocape,1486.0,1620.0
1446040997070951857,114,1446040997067929983,robocape,1478.0,1620.0
1446040997097597732,115,1446040997095926046,robocape,1480.0,1380.0
1446040997131243773,116,1446040997128968954,robocape,1478.0,1620.0
1446040997164194982,117,1446040997162100076,robocape,1486.0,1620.0
1446040997198051065,118,1446040997196367979,robocape,1486.0,1380.0
1446040997229708648,119,1446040997228367090,robocape,1486.0,1620.0
1446040997271193148,120,1446040997268276929,robocape,1484.0,1380.0
1446040997295690940,121,1446040997294372081,robocape,1480.0,1380.0
1446040997327383982,122,1446040997326129913,robocape,1480.0,1380.0
1446040997365052440,123,1446040997363711118,robocape,1478.0,1620.0
1446040997444400107,124,1446040997442914962,robocape,1485.0,1620.0
1446040997481123773,125,1446040997479324102,robocape,1485.0,1380.0
