%time,field.header.seq,field.header.stamp,field.header.frame_id,field.temperature,field.variance
1463935260276250620,293,1463935260264416817,,0.0,-20.0
1463935260289612855,294,1463935260281689087,,0.0,20.0
1463935260306132576,295,1463935260294915176,,0.0,20.0
1463935260340366336,296,1463935260325561139,,0.0,20.0
1463935260364339410,297,1463935260359437088,,0.0,20.0
1463935260381926262,298,1463935260373536819,,0.0,-20.0
1463935260393162516,299,1463935260389742114,,0.0,-20.0
1463935260417998035,300,1463935260414205812,,0.0,-20.0
1463935260435054889,301,1463935260430433711,,0.0,-20.0
1463935260475400081,302,1463935260472005044,,0.0,20.0
1463935260514705122,303,1463935260509874934,,0.0,20.0
1463935260524518101,304,1463935260518485470,,0.0,20.0
1463935260554617295,305,1463935260546634673,,0.0,20.0
1463935260567349480,306,1463935260558904516,,0.0,20.0
1463935260592324477,307,1463935260582918163,,0.0,20.0
1463935260613152357,308,1463935260598674242,,0.0,-20.0
1463935260630204159,309,1463935260618645927,,0.0,-20.0
1463935260660661477,310,1463935260643162072,,0.0,20.0
1463935260673059757,311,1463935260664768074,,0.0,20.0
1463935260714282133,312,1463935260693983834,,0.0,20.0
1463935260714744110,313,1463935260707145445,,0.0,20.0
1463935260747761157,314,1463935260738189270,,0.0,20.0
1463935260765751392,315,1463935260759833970,,0.0,20.0
1463935260799870309,316,1463935260769151378,,0.0,20.0
1463935260800432181,317,1463935260779075762,,0.0,20.0
1463935260846841306,318,1463935260836283538,,0.0,20.0
1463935260884017918,319,1463935260868286839,,0.0,20.0
1463935260895242922,320,1463935260885965357,,0.0,-20.0
1463935260939952158,321,1463935260908048440,,0.0,-20.0
1463935260953076320,322,1463935260943273185,,0.0,20.0
1463935261064144543,323,1463935260989236635,,0.0,20.0
1463935261064746989,324,1463935261011962006,,0.0,-20.0
1463935261065071467,325,1463935261033173478,,0.0,-20.0
1463935261069414625,326,1463935261055147603,,0.0,20.0
1463935261180592796,327,1463935261075994180,,0.0,20.0
1463935261181050085,328,1463935261094393060,,0.0,-20.0
1463935261181301178,329,1463935261122950230,,0.0,-20.0
1463935261181525552,330,1463935261156918470,,0.0,-20.0
1463935261317088722,331,1463935261189745777,,0.0,-20.0
1463935261318694132,332,1463935261216370143,,0.0,-20.0
1463935261319092672,333,1463935261244117159,,0.0,-20.0
1463935261321215267,334,1463935261276272126,,0.0,20.0
1463935261322895052,335,1463935261304011903,,0.0,20.0
1463935261445474424,336,1463935261329586846,,0.0,-20.0
1463935261445531038,337,1463935261362191707,,0.0,-20.0
1463935261445598069,338,1463935261389065915,,0.0,-20.0
1463935261445639787,339,1463935261419519170,,0.0,-20.0
1463935261594356652,340,1463935261445294633,,0.0,-20.0
1463935261595963832,341,1463935261474242790,,0.0,-20.0
1463935261596264768,342,1463935261498281594,,0.0,-20.0
1463935261596574246,343,1463935261529888073,,0.0,-20.0
1463935261598423509,344,1463935261558339774,,0.0,20.0
1463935261600372199,345,1463935261589259642,,0.0,20.0
1463935261705869196,346,1463935261613570163,,0.0,-20.0
1463935261706136903,347,1463935261642587643,,0.0,-20.0
1463935261710987403,348,1463935261670812418,,0.0,20.0
